time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),서울시(대곡교)_WL,성남시(궁내교)_WL,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2020-08-07 4:30,0,0,0,0,0,0,2.57,1.39,0,0,145,177.669
2020-08-07 4:40,0,0,0,0,0,0,2.56,1.39,0,0,145,177.669
2020-08-07 4:50,0,0,0,0,0,0,2.55,1.38,0,0,145,177.669
2020-08-07 5:00,0,0,0,0,0,0,2.54,1.38,0,0,145,177.669
2020-08-07 5:10,0,0,0,0,0,0,2.54,1.38,0,0,145,177.669
2020-08-07 5:20,0,0,0,0,0,0,2.53,1.38,0,0,145,177.669
2020-08-07 5:30,0,0,0,0,0,0,2.52,1.37,0,0,145,177.669
2020-08-07 5:40,0,0,0,0,0,0,2.52,1.37,0,0,145,177.669
2020-08-07 5:50,0,0,0,0,0,0,2.51,1.37,0,0,145,177.669
2020-08-07 6:00,0,0,0,0,0,0,2.5,1.37,0,0,145,177.669
2020-08-07 6:10,0,0,0,0,0,0,2.5,1.37,0,0,145,177.669
2020-08-07 6:20,0,0,0,0,0,0,2.5,1.37,0,0,145,177.669
2020-08-07 6:30,0,0,0,0,0,0,2.49,1.36,0,0,145,177.669
2020-08-07 6:40,0,0,0,0,0,0,2.49,1.36,0,0,145,177.669
2020-08-07 6:50,0,0,0,0,0,0,2.48,1.36,0,0,145,177.669
2020-08-07 7:00,0,0,0,0,0,0,2.48,1.36,0,0,145,177.669
2020-08-07 7:10,0,0,0,0,0,0,2.48,1.36,0,0,145,177.669
2020-08-07 7:20,0,0,0,0,0,0,2.47,1.36,0,0,145,177.669
2020-08-07 7:30,0,0,0,0,0,0,2.47,1.36,0,0,145,177.669
2020-08-07 7:40,0,0,0,0,0,0,2.47,1.36,0,0,145,177.669
2020-08-07 7:50,0,0,0,0,0,0,2.47,1.36,0,0,145,177.669
2020-08-07 8:00,0,0,0,0,0,0,2.46,1.35,0,0,145,177.669
2020-08-07 8:10,0,0,0,0,0,0,2.46,1.35,0,0,145,177.669
2020-08-07 8:20,0,0,0,0,0,0,2.46,1.35,0,0,145,177.669
2020-08-07 8:30,0,0,0,0,0,0,2.46,1.35,0,0,145,177.669
2020-08-07 8:40,0,0,0,0,0,0,2.45,1.35,0,0,145,177.669
2020-08-07 8:50,0,0,0,0,0,0,2.45,1.35,0,0,145,177.669
